,p0q0
0,-1.613662916152279
1,0.0072522406060429034
2,0.153991479730486
3,-0.4169057237814613
4,-0.30235503117690854
5,-0.5284404056370917
6,-0.0483407131218101
7,-0.11644202371909529
8,-0.32940206155159046
9,-0.766050272286158
10,-0.31987156244127135
11,0.003513332813263048
12,-0.7047801271406868
13,-0.7992020710426146
14,-1.7855783814087118
15,-0.30830428340849636
16,-0.27555549509934707
17,-0.8705576660208649
18,-0.9866716721245012
19,-0.09526582232506087
20,-0.3893715327640166
21,-0.8702395195055743
22,-0.23441125739221036
23,-0.30611385752542475
24,-0.27154807782224566
25,-0.8708597876338402
26,-0.16655819182178533
27,-0.20778498688325442
28,-0.8517145412550136
29,-1.2019718773816166
30,-0.1109430491098422
31,0.09399812307466249
32,-0.30304082306691527
33,-0.6332002294526333
34,-0.08234414224093456
35,-0.09561118616191777
36,-0.39303274006990563
37,-0.5069010715848705
38,-0.5401720528453282
39,0.1541516840181174
40,-0.6314046023507274
41,-0.4106430398377583
42,-0.32704954241653894
43,0.007083580676628287
44,0.0841968312460395
45,-0.358457831437498
46,0.2010500004837752
47,-0.47095383341961394
48,0.09118020032098428
49,-0.4316876638721183
50,0.1120070892512004
51,-0.27462678964342757
52,0.057258388112835235
53,-0.2535789330732072
54,-0.19307315261135471
55,-0.25077789432580033
56,-0.08713096695674238
57,-0.16356341567387034
58,-0.2779055895084426
59,-0.3288655887089291
60,-0.24305389788320042
61,-0.5745916770944675
62,-0.3273912745300507
63,-0.13123067496741925
64,-0.46678694115994546
65,-0.4897916219646916
66,-0.1828808758497118
67,0.9750652010966192
68,-0.7266391901333193
69,-0.03664257463370291
70,0.00040761870127425937
71,-0.727257291275393
72,-0.32732626320755287
73,-0.4685258521745723
74,0.7032432777012545
75,-0.48055272277359506
76,-0.14068656878983887
77,0.02161638907148955
78,0.19658687827975285
79,-0.46684123478068074
80,-0.017929256315717623
81,-0.31677455611553995
82,0.046426785654873015
83,-2.097832437743868
84,0.12908072905403145
85,-0.4153225588077092
86,-0.1826471375093277
87,-0.913392447798806
88,-0.06923987334666037
89,-0.008730087411173315
90,0.0309341187591059
91,-0.6757238918371726
92,-0.2814161984528525
93,-0.6469449693974738
94,0.033630168817374795
95,-0.7108997340523757
96,-0.18740008975940015
97,-0.5180319790865653
98,0.044380625678336116
99,-0.49436167732373093
100,-0.028953058653826247
101,-0.3501281411678363
102,-0.054321531234208464
103,0.17351139192826537
104,-0.09901297844681523
105,0.33274381236035566
106,0.03273729643139944
107,0.16847571429669728
108,-0.4805207311622155
109,-0.5067914971866472
110,-0.34636883588346024
111,-0.029315524666586157
112,-0.6311920816066916
113,-0.8921677039415599
114,-0.4396574100590058
115,0.0969157120587738
116,-0.5790993524597852
117,-0.5265189094546656
118,-0.015573059359880403
119,-0.21488836601340466
120,-0.5985465532358276
121,-0.8923903782977831
122,1.431813010616061
123,-0.14161310814382233
124,-0.42658766181997976
125,0.53333606234537
126,0.5643581509084115
127,-0.29932302973797675
128,-0.12141002692717251
129,0.18525955194145638
130,-0.054738797129708416
131,0.14456007010291927
132,-0.11497470591944392
133,0.27251141990003447
134,0.48790614513827535
135,-0.1804921891118667
136,0.29971639535322936
137,-0.07391072219748906
138,0.36309094544022713
139,-0.05470607070449063
140,0.33278005511497355
141,-1.0591512660629476
142,-0.1782001343786348
143,-0.2458261281244276
144,-0.049358910977481685
145,0.37058443377740247
146,0.2837489970111662
147,-0.43867245976756664
148,0.47039243381611584
149,0.20118594606920936
150,-0.28487452901450894
151,0.250887148221544
152,0.5034419557562373
153,-0.37841426406936307
154,0.24565322801135636
155,0.29038798940599975
156,-0.1510801561649302
157,-0.176882771753327
158,0.07098383732250824
159,-0.44529142698279855
160,0.49330802938496987
161,-0.127502838176774
162,-0.2711349388020139
163,0.3737976405980348
164,-0.15424145258118216
165,-0.5147679735184738
166,0.4662131996158223
167,-0.12734136753847025
168,-0.5441698618847539
169,0.7402023204222203
170,0.08523589867434822
171,-0.5499057156902794
172,0.0654154199294581
173,-0.15417771046021045
174,-0.21283763618379936
175,0.5924709485507762
176,0.44135647402942624
177,-0.3803800412827272
178,0.6387683124429557
179,0.29619403745862627
180,-0.4705543002379713
181,0.4180173646992884
182,0.027616279736299987
183,-0.15378016833849273
184,-0.5649853280012564
185,0.828549245930013
186,0.05717574899139777
187,-0.5248359207680835
188,0.7545077617569476
189,-0.3191730253689187
190,-0.3476383356408448
191,0.28047324673504903
192,0.29211557260380516
193,-0.3457062627790535
194,0.7077356271228084
195,-0.5745321656452376
196,-0.7225241623814398
197,-0.2560381535973164
198,-0.4668288248102286
199,-0.7275363060200633
200,0.09268145381584247
201,-1.0340711598276258
202,-0.4062096602462404
203,-0.17973632037767828
204,-1.2204107748210618
205,-0.5847989914957239
206,-0.11844689513522866
207,-0.9295875472267809
208,-0.3416362847623162
209,-0.18936451718881386
210,-0.7235560059576827
211,0.08296939237527567
212,-0.12947100153534308
213,0.06419282241791535
214,-0.5044843600885187
215,0.39120074633174085
216,0.090169559473388
217,1.3450920769498964
218,0.17638259355792485
219,0.25116452376788345
220,-0.5608225644428799
221,1.0353993279455906
222,0.035032575200624194
223,0.12836691186112148
224,0.1442033797188813
225,1.052991329288126
226,0.004514621180256029
227,0.15516010193105245
228,0.0626697061995003
229,1.4047403546645043
230,-0.15429765072311596
231,0.15525825351556222
232,-0.0034179821722020165
233,0.7462286758617083
234,0.18757733319200298
235,0.5869485757205055
236,-0.014639488353061836
237,0.7692594154548047
238,0.023963098354094825
